,twitter source account,Tweets ago,Date,Compound,Negative,Positive,Neutral,tweet_text
0,@BBC,1,Fri May 22 19:01:00 +0000 2020,0.5374,0.0,0.211,0.789,"Tonight chatting to #GrahamNorton...

✨ @katyperry!
✨@SteveCarell!
✨Dakota Johnson!
✨Alan Carr (@chattyman)!
✨Music… https://t.co/3oKYbSxZeE"
1,@BBC,2,Fri May 22 19:01:00 +0000 2020,0.126,0.131,0.152,0.718,"Piglet rescue! 😭❤️

Roaming In The Wild is streaming now on @bbciplayer.

Via @bbcthesocial.

https://t.co/CTXCTkeqBX"
2,@BBC,3,Fri May 22 16:01:00 +0000 2020,0.4404,0.0,0.172,0.828,"Here is @matthaig1's simple piece of advice for better #MentalHealth.

What's your simple tip?
https://t.co/toSiVTl3bX"
3,@BBC,4,Fri May 22 15:58:20 +0000 2020,0.4019,0.0,0.124,0.876,"RT @bbcouch: Ouch favourites @MarkOneinFour and @ms_molly_vog bare all in this mental health special of #OuchCabinFever

When the world wen…"
4,@BBC,5,Fri May 22 15:27:49 +0000 2020,0.5093,0.0,0.112,0.888,"RT @BBCR1: Here's how the #BigWeekend Headliner and Radio 1 stages are looking for Saturday 23rd and Sunday 24th May! 😍

Check out set-time…"
5,@BBC,6,Fri May 22 14:04:03 +0000 2020,0.0,0.0,0.0,1.0,Find out more about the BBC's focus on mental health this May: https://t.co/9Z8jrQrIck
6,@BBC,7,Fri May 22 14:01:00 +0000 2020,-0.3612,0.171,0.0,0.829,"If you're finding lockdown tough because you live alone, Tobi Green Adenowo (@ToughCookieTee) has some tips to make… https://t.co/zJD44nbNov"
7,@BBC,8,Fri May 22 13:28:25 +0000 2020,-0.2263,0.079,0.0,0.921,"RT @bbcworldservice: Dressing up for Eid needn’t be stopped by lockdown – here are @theswolearab, Fatima and Hira with their style tips htt…"
8,@BBC,9,Fri May 22 12:51:33 +0000 2020,0.5473,0.0,0.15,0.85,"RT @HackerTDog: GET THE #FridayFeeling BY WATCHING ME MAKE LOADS OF CELEBRITIES LOL OUT LOUD. WATCH MY NEW FILM HERE:
https://t.co/Bq7cRYke…"
9,@BBC,10,Fri May 22 12:25:44 +0000 2020,0.3612,0.0,0.111,0.889,"RT @bbcpress: New comedy series #Staged, starring #DavidTennant and @MichaelSheen, is coming to @BBCOne in June. Here's a little taster of…"
10,@BBC,11,Fri May 22 11:01:00 +0000 2020,0.2732,0.0,0.1,0.9,"With fashion weeks going digital because of Covid-19, 3D artists are being hired to create virtual clothes, and eve… https://t.co/qIXRy0tUI7"
11,@BBC,12,Fri May 22 09:26:23 +0000 2020,0.4019,0.0,0.153,0.847,"For details of organisations which offer advice and support with mental health, go online to https://t.co/rWDj404Gvz"
12,@BBC,13,Fri May 22 09:17:44 +0000 2020,0.0,0.0,0.0,1.0,More information about the range of programming about mental health across the BBC can be found here https://t.co/U3LM36WRcU
13,@BBC,14,Fri May 22 09:11:53 +0000 2020,0.0,0.0,0.0,1.0,Find out more about the BBC's focus on mental health this May: https://t.co/9Z8jrQrIck
14,@BBC,15,Fri May 22 08:45:56 +0000 2020,0.4019,0.0,0.153,0.847,"For details of organisations which offer advice and support with mental health, go online to https://t.co/rWDj404Gvz"
