,Lat,Lng,Humidity
0,-33.92,25.57,100
1,-6.13,12.37,83
2,51.23,47.52,88
3,32.67,-17.1,72
4,-22.97,-42.03,100
5,37.73,-25.67,100
6,22.29,114.16,88
7,63.75,-68.51,64
8,32.3,-9.24,62
9,5.41,100.34,94
10,20.52,-13.05,14
11,55.1,-105.28,59
12,42.1,-79.24,68
13,-34.42,19.23,88
14,19.73,-155.09,58
15,78.22,15.64,74
16,-53.15,-70.92,86
17,71.92,114.08,97
18,26.28,119.79,94
19,64.38,-173.3,60
20,-30.18,-50.21,88
21,21.35,-158.09,65
22,-46.19,168.86,74
23,-54.8,-68.3,93
24,1.0,-52.0,98
25,-33.38,148.02,71
26,-23.12,-134.97,86
27,29.11,58.36,23
28,5.1,73.07,75
29,26.54,-77.06,77
30,-33.65,115.33,61
31,18.22,42.51,59
32,42.8,93.45,21
33,49.71,26.47,88
34,62.67,131.17,51
35,65.28,-126.83,55
36,-46.28,169.85,73
37,-34.02,20.44,87
38,-33.59,26.89,95
39,48.83,-67.52,53
40,-21.2,-175.2,69
41,77.48,-69.36,89
42,35.37,132.77,93
43,57.79,-152.41,93
44,70.63,147.92,95
45,15.06,43.29,55
46,34.88,-76.9,78
47,62.58,6.13,86
48,68.75,161.3,48
49,-18.37,26.5,56
50,43.75,-81.72,86
51,2.67,72.89,78
52,-1.57,9.26,90
53,42.6,-73.97,59
54,-9.8,-139.03,70
55,-33.93,18.42,93
56,19.92,74.73,70
57,45.02,-93.22,48
58,-4.88,-66.9,93
59,69.45,-133.04,86
60,-16.78,-151.5,78
61,65.58,-171.0,95
62,-5.11,105.31,94
63,48.65,-53.11,84
64,61.56,-6.81,70
65,-34.53,20.04,87
66,6.12,81.12,74
67,-33.87,121.9,81
68,62.46,-114.35,70
69,-20.48,-55.81,61
70,-42.78,147.06,79
71,-34.0,24.73,81
72,67.47,78.7,93
73,22.08,-159.32,94
74,-20.41,57.7,64
75,-15.77,128.73,77
76,-3.67,152.43,70
77,14.05,124.17,80
78,62.49,17.33,77
79,27.04,14.43,12
80,-8.19,114.97,100
81,41.19,61.4,31
82,8.08,22.4,90
83,-0.74,-90.35,58
84,-21.36,55.77,64
85,69.38,178.42,96
86,71.97,102.5,98
87,-11.38,43.28,76
88,31.21,-82.35,37
89,-20.62,27.45,56
90,-0.95,-80.73,70
91,-24.87,113.63,52
92,59.96,40.19,94
93,36.43,-94.23,63
94,2.82,-60.67,55
95,50.7,-127.42,87
96,-25.3,-57.64,47
97,48.55,-71.33,22
98,73.51,80.55,98
99,69.7,170.31,93
100,-17.92,15.95,52
101,-13.85,136.42,100
102,13.22,80.32,78
103,69.49,88.4,81
104,46.49,135.88,56
105,13.59,102.97,81
106,52.23,141.51,94
107,8.89,-64.25,41
108,71.69,128.87,97
109,17.15,42.63,75
110,-23.35,47.6,72
111,40.89,26.9,80
112,3.07,172.79,76
113,-28.78,32.04,84
114,61.47,128.92,63
115,-26.15,26.16,41
116,51.32,42.77,90
117,2.18,-73.78,94
118,68.53,146.42,91
119,-21.69,165.68,56
120,-6.34,106.1,94
121,3.08,-59.95,57
122,70.37,31.11,81
123,-43.3,-65.1,37
124,-17.8,-63.17,65
125,35.13,140.3,100
126,60.15,-1.15,93
127,65.61,-37.64,92
128,47.17,-55.15,93
129,29.04,114.56,64
130,7.25,5.19,97
131,-21.21,-159.78,61
132,8.12,-63.55,39
133,11.28,-15.83,74
134,-20.75,-51.68,71
135,-2.57,150.8,77
136,-35.17,173.17,53
137,51.15,37.89,84
138,-42.88,147.33,87
139,35.0,132.22,64
140,1.2,-70.17,88
141,-29.95,-71.34,77
142,-46.6,168.33,80
143,39.05,-27.98,90
144,-45.87,170.5,87
145,-8.48,-74.81,67
146,48.22,26.27,72
147,-35.1,173.78,3
148,38.47,106.27,31
149,20.87,-90.4,79
150,-28.77,114.6,57
151,-24.79,-50.01,59
152,60.72,-135.05,30
153,44.17,52.12,73
154,37.1,-4.39,64
155,60.92,-46.05,17
156,44.77,129.7,85
157,40.92,-98.34,38
158,48.68,24.41,80
159,32.3,-81.24,74
160,-8.84,13.23,88
161,58.21,-6.39,93
162,-45.42,167.72,69
163,9.29,105.72,77
164,-38.0,-57.56,64
165,64.89,-23.71,66
166,-0.6,73.08,76
167,39.45,-86.18,77
168,63.76,121.62,62
169,29.97,40.21,17
170,-9.01,-35.22,83
171,17.49,104.1,91
172,55.25,-7.27,94
173,65.58,22.15,86
174,17.96,-102.2,50
175,62.23,-6.59,70
176,66.77,123.37,71
177,69.41,86.18,81
178,7.37,7.63,87
179,57.14,-2.1,54
180,-33.7,-53.46,83
181,10.67,122.95,73
182,29.11,21.29,14
183,19.22,-104.7,49
184,71.29,-156.79,79
185,-16.48,-151.75,79
186,59.7,30.79,86
187,-26.65,15.16,46
188,-16.92,145.77,94
189,51.71,143.23,70
190,-33.01,17.94,82
191,38.52,-28.7,93
192,7.77,-72.22,41
193,-13.78,14.68,68
194,28.66,-17.92,77
195,-16.18,-40.69,89
196,-8.93,125.41,100
197,67.45,153.68,53
198,-5.2,-35.46,94
199,34.0,-81.03,100
200,60.14,-45.24,74
201,71.04,27.85,96
202,-19.04,-43.42,92
203,61.95,159.23,61
204,8.21,123.01,78
205,61.28,108.01,58
206,11.0,122.67,79
207,10.37,10.73,52
208,-32.5,137.77,44
209,-33.02,27.91,79
210,-32.03,-52.1,93
211,39.89,4.27,77
212,-19.06,-169.92,65
213,72.79,-56.15,81
214,-27.8,-64.26,43
215,47.67,-52.73,91
216,-14.47,132.27,78
217,18.42,-64.62,81
218,60.4,-1.35,93
219,-11.1,-77.61,79
220,55.74,-97.86,39
221,-45.87,-67.5,38
222,15.17,44.32,32
223,-9.09,-78.58,81
224,39.18,-84.53,100
225,-23.49,-58.8,56
226,26.77,31.5,23
227,20.07,-97.87,79
228,30.48,-115.95,64
229,-20.33,-40.29,83
230,38.64,-0.87,72
231,28.12,-16.73,68
232,56.17,91.82,87
233,-22.12,14.28,25
234,7.38,8.57,81
235,-34.73,135.87,51
236,8.41,48.48,42
237,19.93,-105.25,30
238,63.05,179.32,96
239,55.34,-131.65,48
240,-23.38,150.5,68
241,28.23,83.98,33
242,-4.24,142.84,79
243,68.22,-135.01,58
244,-20.73,139.5,64
245,35.41,116.58,37
246,27.98,-114.06,58
247,-3.75,103.64,89
248,52.7,115.17,51
249,7.04,134.26,88
250,50.63,38.69,89
251,-41.87,-73.82,81
252,-38.55,-58.74,80
253,32.57,-116.63,49
254,41.37,-73.41,55
255,56.13,101.61,66
256,44.98,25.55,91
257,-19.53,-54.04,68
258,22.48,92.97,87
259,50.23,-63.6,43
260,43.32,145.57,74
261,-2.92,-39.92,85
262,18.22,-63.06,65
263,22.89,-109.91,39
264,-0.95,100.35,75
265,-30.55,29.42,48
266,-26.79,-60.44,60
267,36.56,104.21,36
268,54.23,39.02,80
269,-17.71,-39.25,81
270,37.46,-122.43,52
271,-16.1,167.42,69
272,-32.16,25.62,37
273,-20.32,118.57,29
274,14.9,-24.5,78
275,27.06,-80.14,88
276,53.42,83.52,51
277,35.73,140.83,100
278,4.71,6.79,87
279,-3.8,102.27,81
280,50.68,156.12,84
281,53.75,127.27,82
282,57.08,9.27,92
283,15.0,-83.23,74
284,-27.43,29.17,57
285,28.37,129.48,73
286,28.75,54.54,19
287,5.21,103.21,94
288,-4.35,152.26,69
289,39.16,-119.77,32
290,-15.2,12.15,58
291,64.18,-51.72,90
292,-37.62,-73.65,95
293,50.12,-5.54,93
