,City,Lat,Lng,Max Temp (F),Humidity,Cloudiness,Wind Speed,Country,Date
0,flin flon,54.77,-101.86,55.4,66,20,5.82,CA,1590175860
1,georgetown,5.41,100.34,80.6,88,40,6.93,MY,1590175721
2,ushuaia,-54.8,-68.3,53.6,40,75,8.05,AR,1590175646
3,puerto ayora,-0.74,-90.35,84.2,62,20,16.11,EC,1590175860
4,hun,29.13,15.95,71.64,56,12,17.74,LY,1590175860
5,tuktoyaktuk,69.45,-133.04,37.4,74,5,11.41,CA,1590175861
6,punta arenas,-53.15,-70.92,44.6,87,90,10.29,CL,1590175820
7,castro,-24.79,-50.01,67.77,80,100,9.95,BR,1590175737
8,kavieng,-2.57,150.8,82.8,77,60,6.33,PG,1590175861
9,brigantine,39.41,-74.36,66.2,88,90,14.99,US,1590175728
10,tura,25.52,90.22,71.58,98,84,2.68,IN,1590175861
11,east london,-33.02,27.91,67.73,85,8,9.08,ZA,1590175861
12,bluff,-46.6,168.33,46.78,86,47,7.11,NZ,1590175862
13,helong,42.54,129.0,46.92,87,100,2.42,CN,1590175862
14,pacific grove,36.62,-121.92,62.6,55,75,13.87,US,1590175574
15,bosaso,11.28,49.18,90.01,55,0,1.32,SO,1590175862
16,mahebourg,-20.41,57.7,73.4,69,40,12.75,MU,1590175862
17,comodoro rivadavia,-45.87,-67.5,59.0,33,99,19.46,AR,1590175862
18,slave lake,55.28,-114.77,37.4,93,90,17.22,CA,1590175862
19,rikitea,-23.12,-134.97,71.1,67,97,19.71,PF,1590175862
20,wajima,37.4,136.9,58.08,89,96,5.86,JP,1590175863
21,khatanga,71.97,102.5,50.38,85,100,2.95,RU,1590175863
22,sola,-13.88,167.55,78.8,82,76,20.78,VU,1590175863
23,faanui,-16.48,-151.75,79.92,77,0,24.27,PF,1590175863
24,otavalo,0.23,-78.27,71.6,49,75,14.99,EC,1590175863
25,montepuez,-13.13,39.0,65.14,86,2,6.4,MZ,1590175863
26,sao jose da coroa grande,-8.9,-35.15,80.11,84,0,8.52,BR,1590175863
27,naze,28.37,129.48,71.6,94,90,10.29,JP,1590175863
28,sitka,57.05,-135.33,50.0,66,75,10.29,US,1590175864
29,chokurdakh,70.63,147.92,23.13,98,84,4.14,RU,1590175864
30,vanimo,-2.67,141.3,78.8,81,72,3.0,PG,1590175864
31,rovaniemi,66.5,25.72,50.0,31,0,8.05,FI,1590175622
32,ivanteyevka,55.97,37.92,43.0,93,90,8.95,RU,1590175864
33,severo-yeniseyskiy,60.37,93.04,55.09,42,0,3.42,RU,1590175865
34,izberbash,42.57,47.86,69.8,73,40,4.47,RU,1590175865
35,richards bay,-28.78,32.04,65.8,89,0,3.91,ZA,1590175865
36,pisco,-13.7,-76.22,68.0,72,95,12.75,PE,1590175865
37,hilo,19.73,-155.09,72.0,88,90,5.82,US,1590175865
38,kroya,-7.63,109.25,78.44,77,84,2.28,ID,1590175866
39,cape town,-33.93,18.42,57.0,76,17,4.7,ZA,1590175591
40,hermanus,-34.42,19.23,63.0,70,5,13.62,ZA,1590175739
41,sofiyivka,48.05,33.87,46.4,49,0,4.47,UA,1590175866
42,hobart,-42.88,147.33,39.99,86,0,8.05,AU,1590175866
43,thompson,55.74,-97.86,39.2,80,90,9.17,CA,1590175866
44,longyearbyen,78.22,15.64,33.8,69,20,9.17,SJ,1590175867
45,nome,64.5,-165.41,48.2,81,90,12.75,US,1590175867
46,kurush,41.28,47.83,77.0,61,75,14.99,RU,1590175867
47,kushmurun,52.45,64.63,59.79,82,86,6.35,KZ,1590175867
48,nouadhibou,20.93,-17.03,68.0,77,0,24.16,MR,1590175704
49,nhulunbuy,-12.23,136.77,78.8,74,75,12.75,AU,1590175868
50,mar del plata,-38.0,-57.56,57.0,76,40,17.22,AR,1590175752
51,qaanaaq,77.48,-69.36,34.12,84,0,2.89,GL,1590175868
52,russell,32.35,-85.2,86.0,62,75,5.82,US,1590175843
53,souillac,-20.52,57.52,73.4,69,40,12.75,MU,1590175868
54,cherskiy,68.75,161.3,29.64,94,100,15.64,RU,1590175868
55,mortka,59.33,66.02,48.63,84,68,6.89,RU,1590175868
56,bathsheba,13.22,-59.52,86.0,66,20,16.11,BB,1590175868
57,nacala,-14.54,40.67,71.42,87,5,8.03,MZ,1590175869
58,mollendo,-17.02,-72.01,66.72,69,100,8.95,PE,1590175869
59,bredasdorp,-34.53,20.04,53.6,71,0,3.36,ZA,1590175869
60,hasaki,35.73,140.83,59.0,100,75,3.36,JP,1590175869
61,gambo,4.65,22.26,73.13,88,56,1.28,CF,1590175869
62,meulaboh,4.14,96.13,75.25,95,100,5.19,ID,1590175869
63,taltal,-25.4,-70.48,68.56,49,86,7.58,CL,1590175869
64,saskylakh,71.92,114.08,43.84,95,100,8.08,RU,1590175869
65,santa vitoria do palmar,-33.52,-53.37,61.75,86,100,20.71,BR,1590175869
66,saint-philippe,-21.36,55.77,73.4,64,42,27.51,RE,1590175869
67,nagornyy,52.8,83.55,55.4,93,0,4.47,RU,1590175869
68,port-gentil,-0.72,8.78,82.4,83,40,8.05,GA,1590175870
69,dukat,62.55,155.55,28.47,93,3,4.47,RU,1590175870
70,tuatapere,-46.13,167.68,42.89,84,0,4.29,NZ,1590175870
71,cabo san lucas,22.89,-109.91,84.2,45,40,17.22,MX,1590175736
72,atuona,-9.8,-139.03,80.38,78,6,16.24,PF,1590175870
73,chuy,-33.7,-53.46,61.68,84,100,21.36,UY,1590175870
74,kenai,60.55,-151.26,51.8,81,90,16.11,US,1590175871
75,mataura,-46.19,168.86,40.59,93,0,2.1,NZ,1590175871
76,barrow,71.29,-156.79,28.4,86,1,16.11,US,1590175871
77,los llanos de aridane,28.66,-17.92,69.8,68,20,16.11,ES,1590175871
78,evensk,61.95,159.23,41.36,65,68,8.93,RU,1590175871
79,beaumont,30.09,-94.1,87.8,66,40,13.87,US,1590175698
80,plettenberg bay,-34.05,23.37,58.17,86,0,4.92,ZA,1590175871
81,qujing,25.48,103.78,56.7,86,92,6.73,CN,1590175871
82,ribeira grande,38.52,-28.7,62.6,77,40,6.93,PT,1590175871
83,arkhonskaya,43.11,44.51,61.52,87,100,3.0,RU,1590175871
84,bandarbeyla,9.49,50.81,83.91,72,0,21.25,SO,1590175872
85,saint george,37.1,-113.58,82.4,8,1,20.8,US,1590175820
86,springfield,37.22,-93.3,68.0,93,1,11.41,US,1590175779
87,new norfolk,-42.78,147.06,37.99,90,8,2.26,AU,1590175872
88,avarua,-21.21,-159.78,78.8,74,100,13.87,CK,1590175872
89,bethel,41.37,-73.41,78.01,53,75,11.41,US,1590175754
90,albany,42.6,-73.97,82.0,37,14,3.27,US,1590175758
91,busselton,-33.65,115.33,54.0,53,100,11.27,AU,1590175872
92,pemangkat,1.17,108.97,77.11,82,97,6.55,ID,1590175873
93,kolar,13.13,78.13,78.8,65,40,8.05,IN,1590175873
94,vila velha,-20.33,-40.29,78.8,74,75,11.41,BR,1590175873
